Name,Address,Contact,Coordinates,distance
B&B HOSPITAL,"Gwarko, Lalitpur",01-5970032,"(27.664885, 85.329284)",0.0326121983466275
Bir Hospital,"Kanti Path, Kathmandu",01-4221988/ 01-4221119,"(27.704803, 85.313655)",0.01959707718003245
Norvic International Hospital,"Thapathali, Lalitpur",01-4256656 / 01-4256568,"(27.689940, 85.319266)",0.014586046619973167
Civil Service Hospital,"Minbhawan Marg, Kathmandu",01-4107000,"(27.686410, 85.338838)",0.013050423134899174
Kathmandu ENT Hospital,"Adwait Marg, purano buspark bagbazar, Kathmandu",01-5345554,"(27.703704, 85.318277)",0.014920185823245431
Grande International Hospital,"Dhapasi, Kathmandu"," ""980-1202550""","(27.7362, 85.3431)",0.04041200316737935
HAMS Hospital,"Mandikhatar Road, Kathmandu","01-4377404, 01-4377704","(27.733349, 85.346344)",0.038779614967147144
Patan Hospital,"Lagankhel, Lalitpur",01-5522278,"(27.668287, 85.320594)",0.03119521125108729
Dhulikhel Hospital,"Dhulikhel, Kavrepalanchowk"," ""01-5522295""","(27.616741646870985, 85.5473774408461)",0.23017255034265105
Shahid Gangalal National Heart Centre,"Bansbari Rd, Kathmandu"," ""01-4371322""","(27.745610891050866, 85.34410899649801)",0.04975742568407847
Tribhuvan University Teaching Hospital,"Maharajgunj Rd, Kathmandu"," ""01-4412303""","(27.73623852526315, 85.33022072348253)",0.03887062076858514
Paropakar Maternity and Women's Hospital,"Maternity Hospital Road, Kathmandu"," ""01-5353276""","(27.689656979279018, 85.31902898115281)",0.014934968774014741
Pokhara Academy of Health Sciences,Pokhara," ""985-1115928""","(28.21366997596919, 83.99634098012102)",1.4317770363654254
Sagarmatha Choudhary Eye Hospital,"Mahendra Hwy, Lahan"," ""033-560402""","(26.710355684291983, 86.49273242345056)",1.5238177623949316
Shahid Gangalal National Heart Centre,"Bansbari Rd, Kathmandu"," ""N/A""","(27.745620386320212, 85.34409826766215)",0.0497639733578464
Kathmandu Valley Hospital,"à¤¬à¤¾à¤à¤¦à¤°à¤¬à¤¾à¤° à¤®à¤¾à¤°à¥à¤, Kathmandu"," ""01-4255330""","(27.700670591141236, 85.31051395327803)",0.021535843411925305
